event_id,tenant_id,user_id,channel,delivery_state,sent_at,payload
1001,TENANT-A,U-001,email,sent,2026-01-05T01:00:00Z,"{""sample"":true}"
1002,TENANT-B,U-002,push,failed,2026-01-20T02:00:00Z,"{""sample"":true}"
2001,TENANT-B,U-003,email,sent,2026-02-06T01:00:00Z,"{""sample"":true}"
2002,TENANT-C,U-004,sms,failed,2026-02-21T02:00:00Z,"{""sample"":true}"
3001,TENANT-C,U-005,push,sent,2026-03-07T01:00:00Z,"{""sample"":true}"
3002,TENANT-A,U-006,email,failed,2026-03-22T02:00:00Z,"{""sample"":true}"
4001,TENANT-A,U-007,email,sent,2026-04-08T01:00:00Z,"{""sample"":true}"
4002,TENANT-B,U-008,push,queued,2026-04-23T02:00:00Z,"{""sample"":true}"
5001,TENANT-B,U-009,sms,sent,2026-05-09T01:00:00Z,"{""sample"":true}"
5002,TENANT-C,U-010,email,failed,2026-05-24T02:00:00Z,"{""sample"":true}"
6001,TENANT-C,U-011,push,sent,2026-06-10T01:00:00Z,"{""sample"":true}"
6002,TENANT-A,U-012,email,suppressed,2026-06-25T02:00:00Z,"{""sample"":true}"
7001,TENANT-A,U-013,email,sent,2026-07-11T01:00:00Z,"{""sample"":true}"
7002,TENANT-C,U-014,push,failed,2026-07-26T02:00:00Z,"{""sample"":true}"
