tenant_id,month_start,reported_rows,reported_failed_rows
TENANT-A,2026-01-01,40000,1000
TENANT-B,2026-01-01,37000,900
TENANT-C,2026-01-01,33000,900
TENANT-A,2026-02-01,42000,1100
TENANT-B,2026-02-01,39000,1000
TENANT-C,2026-02-01,37000,1000
TENANT-A,2026-03-01,46000,1200
TENANT-B,2026-03-01,44000,1200
TENANT-C,2026-03-01,42000,1100
TENANT-A,2026-04-01,44000,1000
TENANT-B,2026-04-01,42000,950
TENANT-C,2026-04-01,39000,950
TENANT-A,2026-05-01,45000,1100
TENANT-B,2026-05-01,42000,1100
TENANT-C,2026-05-01,41000,1100
TENANT-A,2026-06-01,46000,1200
TENANT-B,2026-06-01,44000,1100
TENANT-C,2026-06-01,41000,1100
TENANT-A,2026-07-01,47000,1200
TENANT-B,2026-07-01,46000,1150
TENANT-C,2026-07-01,43000,1050
